Date,AMZN,GOOGL,AAPL,LLY,MSFT,FB,BRK-B,FCX,GS,MSCI
2020-04-06,1997.589966,1183.189941,65.6175,141.610001,165.270004,165.550003,185.240005,7.19,158.229996,302.48999
2020-04-07,2011.5999760000002,1182.560059,64.85749799999999,141.880005,163.490005,168.830002,185.25,7.59,166.020004,286.079987
2020-04-08,2043.0,1207.0,66.51750200000001,146.220001,165.130005,174.279999,191.009995,8.03,176.96000700000002,297.179993
2020-04-09,2042.7600100000002,1206.569946,66.997498,145.729996,165.139999,175.190002,193.83999599999999,8.19,184.259995,310.690002
2020-04-13,2168.8701170000004,1210.410034,68.3125,144.419998,165.509995,174.78999299999998,188.770004,8.3,179.179993,309.519989
2020-04-14,2283.320068,1265.22998,71.762497,151.110001,173.699997,178.169998,192.940002,8.32,178.229996,313.410004
2020-04-15,2307.679932,1257.300049,71.10749799999999,151.179993,171.880005,176.970001,188.570007,7.67,178.520004,309.619995
2020-04-16,2408.189941,1257.430054,71.672501,154.729996,177.03999299999998,176.25,187.96000700000002,7.58,177.03999299999998,309.399994
2020-04-17,2375.0,1279.0,70.699997,157.28999299999998,178.600006,179.240005,191.199997,8.34,183.490005,317.179993
2020-04-20,2393.610107,1261.150024,69.23249799999999,157.78999299999998,175.059998,178.240005,188.75,8.02,180.399994,321.950012
2020-04-21,2328.1201170000004,1212.160034,67.092499,152.669998,167.820007,170.800003,183.479996,7.41,173.809998,311.320007
2020-04-22,2363.48999,1258.410034,69.025002,156.71000700000002,173.520004,182.279999,186.580002,7.64,175.979996,320.619995
2020-04-23,2399.449951,1271.170044,68.7575,159.929993,171.419998,185.130005,185.630005,7.81,175.050003,317.440002
2020-04-24,2410.219971,1276.599976,70.7425,162.929993,174.550003,190.070007,186.520004,8.48,177.0,324.890015
2020-04-27,2376.0,1270.859985,70.792503,161.28999299999998,174.050003,187.5,187.46000700000002,8.85,183.53999299999998,331.609985
2020-04-28,2314.080078,1232.589966,69.644997,157.300003,169.809998,182.91000400000001,187.119995,8.92,187.009995,319.160004
2020-04-29,2372.709961,1342.180054,71.932503,155.16000400000001,177.429993,194.190002,189.610001,9.26,190.029999,334.700012
2020-04-30,2474.0,1346.699951,73.449997,154.639999,179.21000700000002,204.71000700000002,187.360001,8.83,183.419998,327.0
2020-05-01,2286.040039,1317.319946,72.26750200000001,153.630005,174.570007,202.270004,182.669998,8.46,177.100006,319.940002
2020-05-04,2315.98999,1322.900024,73.290001,153.279999,178.83999599999999,205.259995,177.949997,8.7,176.029999,321.459991
2020-05-05,2317.800049,1349.02002,74.389999,157.889999,180.759995,207.070007,176.029999,8.8,178.300003,337.339996
2020-05-06,2351.26001,1345.430054,75.157501,156.679993,182.53999299999998,208.470001,172.380005,8.59,176.919998,330.25
2020-05-07,2367.610107,1369.280029,75.934998,152.970001,183.600006,211.25999500000003,173.479996,8.97,182.320007,334.100006
2020-05-08,2379.610107,1384.339966,77.532501,153.509995,184.679993,212.350006,176.830002,9.21,185.389999,333.579987
2020-05-11,2409.0,1403.589966,78.752502,158.550003,186.740005,213.17999300000002,174.639999,8.98,183.16000400000001,347.25
2020-05-12,2356.949951,1375.180054,77.852501,157.720001,182.509995,210.100006,172.809998,8.67,177.21000700000002,347.119995
2020-05-13,2367.919922,1348.329956,76.912498,157.929993,179.75,205.100006,170.570007,8.4,171.800003,335.619995
2020-05-14,2388.850098,1356.859985,77.385002,158.380005,180.529999,206.809998,170.929993,8.29,174.449997,342.049988
2020-05-15,2409.780029,1373.060059,76.927498,159.229996,183.16000400000001,210.88000499999998,169.25,8.48,171.869995,341.22000099999997
2020-05-18,2426.26001,1385.180054,78.739998,157.96000700000002,184.91000400000001,213.190002,175.46000700000002,9.18,181.880005,346.75
2020-05-19,2449.330078,1374.400024,78.285004,156.699997,183.630005,216.88000499999998,172.490005,9.14,177.830002,337.52999900000003
2020-05-20,2497.939941,1409.160034,79.807503,153.130005,185.66000400000001,229.97000099999997,176.020004,9.12,181.440002,341.51001
2020-05-21,2446.73999,1406.75,79.212502,152.279999,183.429993,231.38999900000002,174.940002,8.9,180.100006,333.350006
2020-05-22,2436.8798829999996,1413.23999,79.722504,151.16000400000001,183.509995,234.91000400000001,174.929993,8.74,179.929993,337.97000099999997
2020-05-26,2421.860107,1421.369995,79.182503,147.96000700000002,181.570007,232.19999700000002,180.33999599999999,9.26,196.059998,326.170013
2020-05-27,2410.389893,1420.280029,79.527496,145.699997,181.809998,229.13999900000002,185.770004,9.29,209.66000400000001,315.170013
2020-05-28,2401.100098,1418.23999,79.5625,150.649994,181.399994,225.460007,185.100006,9.09,201.220001,322.679993
2020-05-29,2442.3701170000004,1433.52002,79.485001,152.949997,183.25,225.08999599999999,185.580002,9.07,196.490005,328.850006
2020-06-01,2471.040039,1434.869995,80.462502,152.449997,182.830002,231.91000400000001,183.83999599999999,9.34,199.929993,335.369995
2020-06-02,2472.409912,1442.310059,80.834999,153.860001,184.91000400000001,232.72000099999997,185.940002,9.75,204.139999,324.920013
2020-06-03,2478.399902,1439.25,81.279999,152.529999,185.360001,230.16000400000001,190.820007,10.14,210.57000699999998,318.579987
2020-06-04,2460.600098,1414.300049,80.58000200000001,150.71000700000002,182.919998,226.289993,192.050003,10.2,214.82000699999998,311.579987
2020-06-05,2483.0,1440.02002,82.875,149.21000700000002,187.199997,230.770004,200.66000400000001,10.86,217.919998,330.880005
2020-06-08,2524.060059,1448.040039,83.364998,149.21000700000002,188.360001,231.399994,201.559998,11.25,220.809998,331.089996
2020-06-09,2600.860107,1452.079956,85.997498,149.130005,189.800003,238.669998,196.070007,11.27,218.100006,327.160004
2020-06-10,2647.449951,1464.699951,88.209999,151.0,196.83999599999999,236.729996,191.509995,11.47,213.520004,331.269989
2020-06-11,2557.959961,1401.900024,83.974998,144.080002,186.270004,224.42999300000002,178.020004,9.91,194.130005,299.940002
2020-06-12,2545.02002,1412.920044,84.699997,143.53999299999998,187.740005,228.580002,181.21000700000002,10.49,201.779999,320.950012
2020-06-15,2572.679932,1420.73999,85.747498,141.520004,188.940002,232.5,181.550003,10.47,206.309998,322.119995
2020-06-16,2615.27002,1446.469971,88.019997,163.71000700000002,193.570007,235.649994,182.300003,10.78,209.58999599999999,322.899994
2020-06-17,2640.97998,1452.540039,87.897499,159.970001,194.240005,235.52999900000003,180.860001,10.7,206.190002,325.899994
2020-06-18,2653.97998,1434.119995,87.932503,161.070007,196.320007,235.940002,180.729996,10.56,203.83999599999999,330.070007
2020-06-19,2675.01001,1424.640015,87.43,159.940002,195.149994,238.789993,179.720001,10.5,201.630005,333.459991
2020-06-22,2713.820068,1450.660034,89.717499,160.449997,200.570007,239.22000099999997,180.169998,10.79,203.419998,337.549988
2020-06-23,2764.409912,1463.97998,91.6325,159.33999599999999,201.91000400000001,242.24000499999997,181.009995,11.08,204.779999,334.820007
2020-06-24,2734.399902,1432.699951,90.014999,157.029999,197.83999599999999,234.020004,177.529999,10.57,198.020004,328.359985
2020-06-25,2754.580078,1441.099976,91.209999,162.860001,200.33999599999999,235.67999300000002,178.850006,11.08,207.100006,342.170013
2020-06-26,2692.8701170000004,1362.540039,88.407501,162.830002,196.330002,216.080002,175.369995,10.79,189.190002,332.200012
2020-06-29,2680.3798829999996,1397.170044,90.445,162.720001,198.440002,220.63999900000002,177.190002,11.04,193.470001,325.75
2020-06-30,2758.820068,1418.050049,91.199997,164.179993,203.509995,227.07000699999998,178.509995,11.57,197.619995,333.820007
2020-07-01,2878.699951,1442.0,91.027496,163.300003,204.699997,237.55000299999998,177.990005,11.49,197.570007,340.929993
2020-07-02,2890.300049,1469.930054,91.027496,163.869995,206.259995,233.419998,178.830002,11.5,197.399994,342.130005
2020-07-06,3057.040039,1499.650024,93.462502,166.889999,210.69999700000002,240.27999900000003,182.720001,12.75,207.360001,351.209991
2020-07-07,3000.1201170000004,1489.920044,93.172501,166.75,208.25,240.86000099999998,181.149994,12.73,199.360001,352.609985
